image,statut,x_min,y_min,x_max,y_max
support_3122827.jpg,annote,441.62510991612555,453.8138528138528,543.5818198728355,553.5541125541125
support_1747512.jpg,annote,377.34805363906924,513.6580086580086,567.9627722537879,699.8398268398269
support_1043170.jpg,annote,390.64674648268397,475.9783549783549,572.3956642316017,651.077922077922
support_312446.jpg,ambigu,,,,
support_2851902.jpg,annote,403.94544778138527,407.2683982683982,541.3653612012987,515.8744588744588
support_815803.jpg,annote,497.036365327381,456.030303030303,610.0753263663421,540.2554112554112
support_3018715.jpg,annote,437.19220948322504,478.19480519480516,567.9627722537879,593.4502164502164
support_439613.jpg,annote,401.72900602002164,458.2467532467532,552.4476207386364,611.1818181818181
support_2783727.jpg,ambigu,,,,
support_2865806.jpg,non_visible,,,,
