SUP_ID,source,classe_niveau2,official_latitude,official_longitude,bbox_center_x,bbox_center_y,visual_latitude,visual_longitude,distance_to_own_anfr_m,nearest_SUP_ID,distance_to_nearest_anfr_m
1306136,niveau2_manual_train,pylone,48.75861111111111,2.0458333333333334,512.3005130206136,502.5832834373418,48.758627761748365,2.045834139372033,1.8524114934008367,1306136,1.8524114934008367
170960,niveau2_manual_train,autre_support,49.06166666666666,1.5508333333333333,527.6246765929383,518.481331168831,49.06165527567585,1.550875241981771,3.3057557394067,170960,3.3057557394067
2056904,niveau2_manual_train,pylone,48.9875,1.735,501.5505854598425,504.73053845505143,48.987512795188664,1.7349719724861359,2.491350830940024,2056904,2.491350830940024
815673,niveau2_manual_train,chateau_eau,49.0175,1.5680555555555555,530.4117897315498,480.74666786135936,49.01755497673973,1.5681049398239395,7.095080931149252,815673,7.095080931149252
555190,niveau2_manual_train,pylone,48.76027777777778,2.1713888888888886,488.30063028579275,492.52181608713863,48.76031221795173,2.1713253222257833,6.031301672707829,555190,6.031301672707829
1990531,niveau2_manual_train,batiment,48.717777777777776,2.101388888888889,501.8584428267045,492.71509740259734,48.717811905045465,2.101361687112842,4.287519269316436,1990531,4.287519269316436
2899877,niveau2_manual_train,batiment,48.78916666666667,2.0413888888888887,437.02727399553567,447.83198051948057,48.78928005940889,2.041187796367325,19.390856362306955,2899877,19.390856362306955
2973405,niveau2_manual_train,pylone,48.72972222222222,2.081388888888889,534.7163152378116,536.2713290741515,48.72967928095882,2.0814498187944253,6.539931514870749,2973405,6.539931514870749
3302172,niveau2_manual_train,batiment,48.98777777777778,1.763611111111111,338.1181830864448,501.02678571428567,48.98779709193939,1.7631447237342854,34.099249577428445,3302172,34.099249577428445
1385677,niveau2_manual_train,batiment,48.8525,2.038055555555556,424.55974152800326,435.364448051948,48.85263525335534,2.037821022506023,22.817733771356323,1385677,22.817733771334446
2225619,niveau2_manual_train,batiment,48.90083333333333,2.143611111111111,469.44285841112014,446.1696428571428,48.900949404521484,2.1434969639623205,15.368651653756448,2225619,15.368651653756448
2556544,niveau2_manual_train,pylone,48.78666666666666,1.938055555555556,589.1311700994318,619.8839285714284,48.78647601248802,1.9382624374753448,26.06065608858282,2556544,26.06065608858282
513357,niveau2_manual_train,autre_support,48.64666666666667,1.823888888888889,527.7863760307519,538.6366809327035,48.646619462787484,1.8239312312489915,6.101401441741803,513357,6.101401441741803
2216003,niveau2_manual_train,batiment,48.719722222222224,2.103333333333333,501.85844282670456,568.3514610389609,48.71962250434151,2.1033061315572468,11.266274240903476,2216003,11.266274240903476
546396,niveau2_manual_train,batiment,48.76833333333333,1.9491666666666667,561.7025986708604,633.1826298701299,48.768119099202444,1.949299979424893,25.747587335276815,546396,25.747587335276815
951133,niveau2_manual_train,mat,48.95388888888889,1.6377777777777778,517.3969019689987,516.7017762882278,48.953880607574405,1.6377922533968956,1.4018412874385284,951133,1.4018412874385284
