detection_id,image,row,col,confidence,x1,y1,x2,y2,center_x,center_y,latitude,longitude,nearest_SUP_ID,nearest_ANFR_latitude,nearest_ANFR_longitude,nearest_ANFR_distance_m,nearest_ANFR_nature,nearest_ANFR_height
132,pilot_r04_c02.jpg,4,2,0.09785237163305283,344.84893798828125,0.0,461.66302490234375,85.19976806640625,403.2559814453125,42.599884033203125,48.794710935021385,2.129709513137641,834924,48.79472222222222,2.1261111111111117,263.5886066714844,Immeuble,25
130,pilot_r04_c02.jpg,4,2,0.3292398452758789,449.9341125488281,26.394256591796875,809.666259765625,475.5901794433594,629.8001861572266,250.99221801757812,48.79434271919146,2.130317152045791,794061,48.79277777777778,2.1327777777777777,250.53884350866974,Château d'eau - réservoir,"36,5"
133,pilot_r04_c02.jpg,4,2,0.08966048806905746,661.1339111328125,132.4359130859375,811.2662353515625,458.4517822265625,736.2000732421875,295.44384765625,48.79426417567566,2.1306025387821137,794061,48.79277777777778,2.1327777777777777,229.58068221006508,Château d'eau - réservoir,"36,5"
112,pilot_r03_c02.jpg,3,2,0.07305271178483963,560.1829833984375,793.9088134765625,719.6314697265625,991.5775146484375,639.9072265625,892.7431640625,48.79501812657819,2.1303442612406798,2865414,48.79555555555555,2.1333333333333333,226.95808266759803,Intérieur sous-terrain,0
110,pilot_r03_c02.jpg,3,2,0.2884598672389984,259.91632080078125,507.0091552734375,367.8846435546875,575.7052001953125,313.9004821777344,541.357177734375,48.79563899305822,2.129469843011975,2274825,48.7975,2.13,210.5469468281359,Immeuble,20
34,pilot_r00_c04.jpg,0,4,0.16812929511070251,866.8941650390625,363.029052734375,1024.0,669.79833984375,945.4470825195312,516.4136962890625,48.801110672950514,2.1366569470592367,2865412,48.8,2.1344444444444446,203.7457609993545,Bâtiment,4
129,pilot_r04_c02.jpg,4,2,0.45372796058654785,892.6888427734375,37.79046630859375,1017.8480224609375,294.44598388671875,955.2684326171875,166.11822509765625,48.79449268639573,2.131190125910507,2865414,48.79555555555555,2.1333333333333333,196.50426966969982,Intérieur sous-terrain,0
55,pilot_r01_c03.jpg,1,3,0.1206693947315216,212.48814392089844,458.690673828125,309.7564697265625,578.9334716796875,261.12230682373047,518.8120727539062,48.79929729837577,2.132074862945501,2865412,48.8,2.1344444444444446,190.33459234153682,Bâtiment,4
131,pilot_r04_c02.jpg,4,2,0.11650162190198898,894.5816650390625,38.2550048828125,1024.0,170.6155242919922,959.2908325195312,104.43526458740234,48.79460167616924,2.1312009148277866,2865414,48.79555555555555,2.1333333333333333,188.80841700522402,Intérieur sous-terrain,0
126,pilot_r04_c01.jpg,4,1,0.2120320349931717,608.7561645507812,595.6898193359375,879.2360229492188,865.8804931640625,743.99609375,730.78515625,48.7934949457029,2.12787686730735,834924,48.79472222222222,2.1261111111111117,188.02467133528762,Immeuble,25
