SUP_ID,image_originale,image_inspection,NAT_ID,NATURE_SUPPORT,SUP_NM_HAUT,latitude,longitude
2227729,support_2227729.jpg,inspection_support_2227729.jpg,23,Pylône autostable,34,49.065,1.663611111111111
474246,support_474246.jpg,inspection_support_474246.jpg,38,Immeuble,"45,4",48.97666666666667,1.9158333333333333
532763,support_532763.jpg,inspection_support_532763.jpg,38,Immeuble,21,48.973888888888894,2.006111111111111
834937,support_834937.jpg,inspection_support_834937.jpg,38,Immeuble,22,48.895,2.0941666666666667
532167,support_532167.jpg,inspection_support_532167.jpg,23,Pylône autostable,"36,7",48.74361111111112,2.045
2955276,support_2955276.jpg,inspection_support_2955276.jpg,23,Pylône autostable,21,48.98083333333334,1.7544444444444445
3103088,support_3103088.jpg,inspection_support_3103088.jpg,17,Bâtiment,18,48.95722222222223,2.0672222222222225
839909,support_839909.jpg,inspection_support_839909.jpg,26,Pylône tubulaire,27,48.97583333333333,1.7197222222222224
1676036,support_1676036.jpg,inspection_support_1676036.jpg,23,Pylône autostable,47,48.524166666666666,1.8277777777777775
594845,support_594845.jpg,inspection_support_594845.jpg,23,Pylône autostable,58,48.95472222222222,1.715833333333333
2929025,support_2929025.jpg,inspection_support_2929025.jpg,38,Immeuble,"16,7",48.87611111111112,2.140833333333333
615344,support_615344.jpg,inspection_support_615344.jpg,23,Pylône autostable,30,48.4975,1.8958333333333333
2373345,support_2373345.jpg,inspection_support_2373345.jpg,23,Pylône autostable,"40,2",48.63472222222222,1.7816666666666665
2001210,support_2001210.jpg,inspection_support_2001210.jpg,38,Immeuble,"26,5",48.774166666666666,2.0733333333333337
1624219,support_1624219.jpg,inspection_support_1624219.jpg,17,Bâtiment,"33,8",48.907777777777774,2.158333333333333
1694177,support_1694177.jpg,inspection_support_1694177.jpg,38,Immeuble,"31,6",48.78416666666666,2.1841666666666666
589413,support_589413.jpg,inspection_support_589413.jpg,20,Monument religieux,42,48.57611111111112,1.8786111111111112
1676378,support_1676378.jpg,inspection_support_1676378.jpg,23,Pylône autostable,42,48.79055555555556,2.0613888888888887
1894294,support_1894294.jpg,inspection_support_1894294.jpg,17,Bâtiment,"10,5",48.79444444444445,2.138055555555556
815803,support_815803.jpg,inspection_support_815803.jpg,23,Pylône autostable,27,48.76111111111111,2.136388888888889
