image,statut,x_min,y_min,x_max,y_max,ensemble_original
support_3122827.jpg,annote,441.6251099161256,453.8138528138528,543.5818198728355,553.5541125541125,train
support_1747512.jpg,annote,377.3480536390693,513.6580086580086,567.9627722537879,699.8398268398269,train
support_1043170.jpg,annote,390.646746482684,475.9783549783549,572.3956642316017,651.077922077922,train
support_312446.jpg,ambigu,,,,,train
support_2851902.jpg,annote,403.94544778138527,407.2683982683982,541.3653612012987,515.8744588744588,train
support_815803.jpg,annote,497.036365327381,456.030303030303,610.0753263663421,540.2554112554112,train
support_3018715.jpg,annote,437.192209483225,478.1948051948052,567.9627722537879,593.4502164502164,train
support_439613.jpg,annote,401.7290060200216,458.2467532467532,552.4476207386364,611.1818181818181,train
support_2783727.jpg,ambigu,,,,,train
support_2865806.jpg,non_visible,,,,,train
