detection_id,zone_id,image,row,col,confidence,x1,y1,x2,y2,center_x,center_y,latitude,longitude,nearest_SUP_ID,nearest_ANFR_latitude,nearest_ANFR_longitude,nearest_ANFR_distance_m,nearest_ANFR_nature,nearest_ANFR_height,detections_in_cluster,cluster_detection_ids,cluster_max_confidence,cluster_max_distance_anfr_m,review_status,review_comment,review_origin,old_unique_candidate_id,unique_candidate_id,support_type
86,dense,dense_r02_c03.jpg,2,3,0.6965839266777039,171.0175323486328,700.3585205078125,394.15924072265625,835.9332275390625,282.58838653564453,768.1458740234375,48.797047563074095,2.132132439458019,2274825,48.7975,2.13,164.09689260582866,Immeuble,20,1,86,0.6965839266777039,164.09689260582866,plausible,,transferred_from_pilot,U015,D001,batiment
23,dense,dense_r00_c03.jpg,0,3,0.5302276015281677,333.142578125,574.022705078125,443.160400390625,662.615966796875,388.1514892578125,618.3193359375,48.80093063555818,2.13241558176378,2865412,48.8,2.1344444444444446,181.0803902152361,Bâtiment,4,1,23,0.5302276015281677,181.0803902152361,plausible,,transferred_from_pilot,U011,D002,batiment
12,dense,dense_r00_c01.jpg,0,1,0.4892931282520294,33.98679733276367,398.3475341796875,49.23969650268555,413.407470703125,41.61324691772461,405.8775024414063,48.80130595727149,2.1259929297036706,835052,48.80111111111111,2.1238888888888887,155.61820539284508,Immeuble,23,2,"12,16",0.4892931282520294,155.61820539284508,plausible,,transferred_from_pilot,U019,D003,mat
130,dense,dense_r04_c02.jpg,4,2,0.4588986039161682,892.65673828125,37.83416748046875,1017.875,298.3617248535156,955.265869140625,168.0979461669922,48.79448918835363,2.131190119034727,2865414,48.79555555555555,2.1333333333333333,196.73886108631288,Intérieur sous-terrain,0,2,"130,132",0.4588986039161682,196.73886108631288,plausible,,transferred_from_pilot,U006,D004,batiment
24,dense,dense_r00_c03.jpg,0,3,0.4181185960769653,734.8767700195312,93.16504669189452,937.9856567382812,215.0396728515625,836.4312133789062,154.10235977172852,48.801750765639895,2.133617961681012,3004738,48.80305555555555,2.1341666666666668,150.54898563318685,Immeuble,"24,7",1,24,0.4181185960769653,150.54898563318685,plausible,,transferred_from_pilot,U020,D005,batiment
49,dense,dense_r01_c02.jpg,1,2,0.3996590375900268,587.2022094726562,351.2235107421875,928.2427368164062,518.7473754882812,757.7224731445312,434.9854431152344,48.79944540032697,2.130660266357154,2284920,48.8,2.1286111111111112,162.2627252584222,Bâtiment,"14,7",2,"49,51",0.3996590375900268,179.26976834792612,plausible,,transferred_from_pilot,U012,D006,batiment
131,dense,dense_r04_c02.jpg,4,2,0.3208507001399994,449.501220703125,27.400543212890625,807.5672607421875,474.3785095214844,628.5342407226562,250.8895263671875,48.79434290064165,2.130313756515534,794061,48.79277777777778,2.1327777777777777,250.7318529428723,Château d'eau - réservoir,"36,5",2,"131,134",0.3208507001399994,250.7318529428723,plausible,,transferred_from_pilot,U002,D007,batiment
72,dense,dense_r02_c01.jpg,2,1,0.3012443780899048,291.5684814453125,932.139404296875,433.091064453125,1024.0,362.3297729492188,978.0697021484376,48.79667665845903,2.1268531584610173,2214528,48.797777777777775,2.1283333333333334,163.54170221472856,Immeuble,"22,1",2,"72,77",0.3012443780899048,178.93567174129606,plausible,,transferred_from_pilot,U013,D008,batiment
111,dense,dense_r03_c02.jpg,3,2,0.288211315870285,260.11785888671875,507.2079772949219,367.84222412109375,575.83984375,313.98004150390625,541.5239105224609,48.79563869845864,2.129470056406717,2274825,48.7975,2.13,210.57626105497283,Immeuble,20,1,111,0.288211315870285,210.57626105497283,plausible,,transferred_from_pilot,U004,D009,batiment
127,dense,dense_r04_c01.jpg,4,1,0.2228470146656036,608.05615234375,595.237548828125,879.85009765625,865.611572265625,743.953125,730.424560546875,48.793495582865376,2.127876752056181,834924,48.79472222222222,2.126111111111112,187.96744601675408,Immeuble,25,1,127,0.2228470146656036,187.96744601675408,plausible,,transferred_from_pilot,U008,D010,batiment
100,dense,dense_r03_c00.jpg,3,0,0.186827078461647,469.15380859375,125.96237182617188,547.2567749023438,228.8260803222656,508.2052917480469,177.39422607421875,48.79628207376935,2.1244978450613416,867956,48.7975,2.123333333333333,160.05083958363284,Immeuble,"19,2",2,"100,103",0.186827078461647,184.8000374672412,plausible,,transferred_from_pilot,U009,D011,batiment
33,dense,dense_r00_c04.jpg,0,4,0.1744061559438705,867.4110107421875,363.1656799316406,1024.0,680.1607666015625,945.7055053710938,521.6632232666016,48.80110139859101,2.136657640203339,2865412,48.8,2.1344444444444446,203.1628283439199,Bâtiment,4,2,"33,35",0.1744061559438705,203.1628283439199,plausible,,transferred_from_pilot,U005,D012,batiment
34,dense,dense_r00_c04.jpg,0,4,0.1673001945018768,447.3023986816406,385.7733154296875,760.7015380859375,574.9149169921875,604.0019683837891,480.3441162109375,48.801174397170136,2.135741119896011,2865412,48.8,2.1344444444444446,161.47001544733612,Bâtiment,4,1,34,0.1673001945018768,161.47001544733612,plausible,,transferred_from_pilot,U016,D013,batiment
128,dense,dense_r04_c01.jpg,4,1,0.1408622860908508,229.407470703125,738.6409912109375,299.1484375,819.578857421875,264.2779541015625,779.1099243164062,48.793409557121805,2.126590162988577,834924,48.79472222222222,2.126111111111112,150.12088522787587,Immeuble,25,1,128,0.1408622860908508,150.12088522787587,plausible,,transferred_from_pilot,U022,D014,batiment
91,dense,dense_r02_c03.jpg,2,3,0.13211190700531,222.44647216796875,0.4818572998046875,354.29034423828125,134.48851013183594,288.368408203125,67.48518371582031,48.79828550789698,2.1321479426842416,2537641,48.797777777777775,2.1341666666666668,158.27490723981802,Immeuble,26,1,91,0.13211190700531,158.27490723981802,plausible,,transferred_from_pilot,U018,D015,batiment
56,dense,dense_r01_c03.jpg,1,3,0.1184626072645187,212.46047973632807,458.8228149414063,308.1678771972656,578.9246215820312,260.3141784667969,518.8737182617188,48.799297189462486,2.132072695376337,2865412,48.8,2.1344444444444446,190.48433756591265,Bâtiment,4,1,56,0.1184626072645187,190.48433756591265,plausible,,transferred_from_pilot,U007,D016,batiment
113,dense,dense_r03_c02.jpg,3,2,0.111618585884571,560.2617797851562,793.94482421875,719.4766235351562,993.107421875,639.8692016601562,893.526123046875,48.79501674315363,2.130344159249944,2865414,48.79555555555555,2.1333333333333333,227.0058443802903,Intérieur sous-terrain,0,1,113,0.111618585884571,227.0058443802903,plausible,,transferred_from_pilot,U003,D017,batiment
133,dense,dense_r04_c02.jpg,4,2,0.0936203524470329,344.88653564453125,0.0,461.6321411132813,84.77745056152344,403.2593383789063,42.38872528076172,48.79471130812392,2.1297095221416384,834924,48.79472222222222,2.126111111111112,263.5890709569139,Immeuble,25,1,133,0.0936203524470329,263.5890709569139,plausible,,transferred_from_pilot,U001,D018,batiment
108,dense,dense_r03_c01.jpg,3,1,0.0845192670822143,547.08203125,293.09033203125,671.6875,479.73291015625,609.384765625,386.41162109375,48.79591276505912,2.1275158115895465,834924,48.79472222222222,2.126111111111112,167.66731308237848,Immeuble,25,1,108,0.0845192670822143,167.66731308237848,plausible,,transferred_from_pilot,U014,D019,batiment
