candidate_id,detection_id,image,row,col,confidence,x1,y1,x2,y2,center_x,center_y,latitude,longitude,nearest_SUP_ID,nearest_ANFR_latitude,nearest_ANFR_longitude,nearest_ANFR_distance_m,nearest_ANFR_nature,nearest_ANFR_height,review_status,review_comment,unique_candidate_id,detections_in_cluster,cluster_candidate_ids,cluster_max_confidence,cluster_max_distance_anfr_m
C017,85,pilot_r02_c03.jpg,2,3,0.7167117595672607,171.09033203125,700.560302734375,393.9210815429688,836.1875,282.5057067871094,768.3739013671875,48.797047160184704,2.132132217693652,2274825,48.7975,2.13,164.09517330278024,Immeuble,20,plausible,,U015,1,C017,0.7167117595672607,164.09517330278024
C013,23,pilot_r00_c03.jpg,0,3,0.5002013444900513,333.540771484375,574.2149658203125,444.06103515625,662.8883056640625,388.8009033203125,618.5516357421875,48.80093022515179,2.132417323628033,2865412,48.8,2.1344444444444446,180.94962145399128,Bâtiment,4,plausible,,U011,1,C013,0.5002013444900513,180.94962145399128
C024,12,pilot_r00_c01.jpg,0,1,0.4885269105434418,33.987060546875,398.34771728515625,49.23997497558594,413.4074096679688,41.61351776123047,405.8775634765625,48.801305957163656,2.125992930430129,835052,48.80111111111111,2.1238888888888887,155.6182564121764,Immeuble,23,plausible,,U019,2,"C024,C025",0.4885269105434418,155.6182564121764
C007,129,pilot_r04_c02.jpg,4,2,0.4537279605865478,892.6888427734375,37.79046630859375,1017.8480224609376,294.44598388671875,955.2684326171876,166.11822509765625,48.79449268639573,2.131190125910507,2865414,48.79555555555555,2.1333333333333333,196.50426966969985,Intérieur sous-terrain,0,plausible,,U006,2,"C007,C009",0.4537279605865478,196.50426966969985
C019,48,pilot_r01_c02.jpg,1,2,0.3996615409851074,587.241943359375,351.22320556640625,928.10498046875,518.1891479492188,757.6734619140625,434.7061767578125,48.79944589372425,2.1306601348987897,2284920,48.8,2.1286111111111112,162.2329743406199,Bâtiment,"14,7",plausible,,U012,2,"C014,C019",0.3996615409851074,179.41130768061123
C026,24,pilot_r00_c03.jpg,0,3,0.3832046091556549,735.11572265625,93.188720703125,938.5711669921876,214.65557861328125,836.8434448242188,153.92214965820312,48.801751084013695,2.13361906737191,3004738,48.80305555555555,2.1341666666666668,150.49326768053797,Immeuble,"24,7",plausible,,U020,1,C026,0.3832046091556549,150.49326768053797
C002,130,pilot_r04_c02.jpg,4,2,0.3292398452758789,449.9341125488281,26.394256591796875,809.666259765625,475.5901794433594,629.8001861572266,250.99221801757807,48.79434271919146,2.130317152045791,794061,48.79277777777778,2.1327777777777777,250.5388435086697,Château d'eau - réservoir,"36,5",plausible,,U002,2,"C002,C003",0.3292398452758789,250.5388435086697
C018,71,pilot_r02_c01.jpg,2,1,0.3012443780899048,291.5684814453125,932.139404296875,433.091064453125,1024.0,362.3297729492188,978.0697021484376,48.79667665845903,2.1268531584610173,2214528,48.797777777777775,2.1283333333333334,163.54170221472856,Immeuble,"22,1",plausible,,U013,2,"C015,C018",0.3012443780899048,178.93567174129606
C005,110,pilot_r03_c02.jpg,3,2,0.2884598672389984,259.91632080078125,507.0091552734375,367.8846435546875,575.7052001953125,313.9004821777344,541.357177734375,48.79563899305822,2.129469843011975,2274825,48.7975,2.13,210.5469468281359,Immeuble,20,plausible,,U004,1,C005,0.2884598672389984,210.5469468281359
C021,97,pilot_r03_c00.jpg,3,0,0.2341538816690445,469.0606689453125,125.71865844726562,546.9612426757812,229.298583984375,508.0109558105469,177.5086212158203,48.79628187164758,2.124497323811738,867956,48.7975,2.123333333333333,160.04951520392945,Immeuble,"19,2",plausible,,U009,2,"C011,C021",0.2341538816690445,184.9181696116571
