SUP_ID,split,image,class_id,x_center_norm,y_center_norm,width_norm,height_norm,annotation_type
1246785,train,support_1246785.jpg,0,0.5,0.5,0.15625,0.15625,weak_centered_from_anfr_coordinate
1291835,train,support_1291835.jpg,0,0.5,0.5,0.15625,0.15625,weak_centered_from_anfr_coordinate
1292209,val,support_1292209.jpg,0,0.5,0.5,0.15625,0.15625,weak_centered_from_anfr_coordinate
1305991,test,support_1305991.jpg,0,0.5,0.5,0.15625,0.15625,weak_centered_from_anfr_coordinate
1306136,train,support_1306136.jpg,0,0.5,0.5,0.15625,0.15625,weak_centered_from_anfr_coordinate
1336569,train,support_1336569.jpg,0,0.5,0.5,0.15625,0.15625,weak_centered_from_anfr_coordinate
1345754,train,support_1345754.jpg,0,0.5,0.5,0.15625,0.15625,weak_centered_from_anfr_coordinate
1353312,train,support_1353312.jpg,0,0.5,0.5,0.15625,0.15625,weak_centered_from_anfr_coordinate
1370988,train,support_1370988.jpg,0,0.5,0.5,0.15625,0.15625,weak_centered_from_anfr_coordinate
1381467,train,support_1381467.jpg,0,0.5,0.5,0.15625,0.15625,weak_centered_from_anfr_coordinate
1385677,train,support_1385677.jpg,0,0.5,0.5,0.15625,0.15625,weak_centered_from_anfr_coordinate
1398007,train,support_1398007.jpg,0,0.5,0.5,0.15625,0.15625,weak_centered_from_anfr_coordinate
1402050,test,support_1402050.jpg,0,0.5,0.5,0.15625,0.15625,weak_centered_from_anfr_coordinate
1404583,val,support_1404583.jpg,0,0.5,0.5,0.15625,0.15625,weak_centered_from_anfr_coordinate
1407576,test,support_1407576.jpg,0,0.5,0.5,0.15625,0.15625,weak_centered_from_anfr_coordinate
1424786,train,support_1424786.jpg,0,0.5,0.5,0.15625,0.15625,weak_centered_from_anfr_coordinate
1425100,val,support_1425100.jpg,0,0.5,0.5,0.15625,0.15625,weak_centered_from_anfr_coordinate
1435703,test,support_1435703.jpg,0,0.5,0.5,0.15625,0.15625,weak_centered_from_anfr_coordinate
1443559,val,support_1443559.jpg,0,0.5,0.5,0.15625,0.15625,weak_centered_from_anfr_coordinate
1461855,train,support_1461855.jpg,0,0.5,0.5,0.15625,0.15625,weak_centered_from_anfr_coordinate
1465959,train,support_1465959.jpg,0,0.5,0.5,0.15625,0.15625,weak_centered_from_anfr_coordinate
1466271,train,support_1466271.jpg,0,0.5,0.5,0.15625,0.15625,weak_centered_from_anfr_coordinate
1468648,train,support_1468648.jpg,0,0.5,0.5,0.15625,0.15625,weak_centered_from_anfr_coordinate
1468847,train,support_1468847.jpg,0,0.5,0.5,0.15625,0.15625,weak_centered_from_anfr_coordinate
1471811,val,support_1471811.jpg,0,0.5,0.5,0.15625,0.15625,weak_centered_from_anfr_coordinate
1478909,val,support_1478909.jpg,0,0.5,0.5,0.15625,0.15625,weak_centered_from_anfr_coordinate
1487759,val,support_1487759.jpg,0,0.5,0.5,0.15625,0.15625,weak_centered_from_anfr_coordinate
1509971,train,support_1509971.jpg,0,0.5,0.5,0.15625,0.15625,weak_centered_from_anfr_coordinate
1536777,train,support_1536777.jpg,0,0.5,0.5,0.15625,0.15625,weak_centered_from_anfr_coordinate
1538941,train,support_1538941.jpg,0,0.5,0.5,0.15625,0.15625,weak_centered_from_anfr_coordinate
1545487,train,support_1545487.jpg,0,0.5,0.5,0.15625,0.15625,weak_centered_from_anfr_coordinate
1546040,train,support_1546040.jpg,0,0.5,0.5,0.15625,0.15625,weak_centered_from_anfr_coordinate
1579612,train,support_1579612.jpg,0,0.5,0.5,0.15625,0.15625,weak_centered_from_anfr_coordinate
1594400,train,support_1594400.jpg,0,0.5,0.5,0.15625,0.15625,weak_centered_from_anfr_coordinate
1601403,train,support_1601403.jpg,0,0.5,0.5,0.15625,0.15625,weak_centered_from_anfr_coordinate
1607992,val,support_1607992.jpg,0,0.5,0.5,0.15625,0.15625,weak_centered_from_anfr_coordinate
1616424,train,support_1616424.jpg,0,0.5,0.5,0.15625,0.15625,weak_centered_from_anfr_coordinate
1624219,train,support_1624219.jpg,0,0.5,0.5,0.15625,0.15625,weak_centered_from_anfr_coordinate
1662012,train,support_1662012.jpg,0,0.5,0.5,0.15625,0.15625,weak_centered_from_anfr_coordinate
