detection_id,zone_id,image,row,col,confidence,x1,y1,x2,y2,center_x,center_y,latitude,longitude,nearest_SUP_ID,nearest_ANFR_latitude,nearest_ANFR_longitude,nearest_ANFR_distance_m,nearest_ANFR_nature,nearest_ANFR_height,detections_in_cluster,cluster_detection_ids,cluster_max_confidence,cluster_max_distance_anfr_m,review_status,review_comment,review_origin,old_unique_candidate_id,unique_candidate_id
138,dense,dense_r04_c03.jpg,4,3,0.0511295869946479,42.09027099609375,25.243408203125,416.0144653320313,284.63800048828125,229.0523681640625,154.94070434570312,48.79451243636442,2.131988844666921,2865414,48.79555555555555,2.1333333333333333,152.16026833298497,Intérieur sous-terrain,0,1,138,0.0511295869946479,152.16026833298497,,,,,D022
153,intermediaire,intermediaire_r03_c02.jpg,3,2,0.4283529818058014,772.3363037109375,197.8482666015625,795.9237060546875,222.90216064453125,784.1300048828125,210.37521362304688,48.477881637536775,1.85378496946214,1122334,48.47916666666667,1.853055555555556,152.66967765441206,Silo,25,1,153,0.4283529818058014,152.66967765441206,,,,,I001
144,intermediaire,intermediaire_r02_c00.jpg,2,0,0.08411256223917,822.2581176757812,396.3111877441406,897.3289184570312,468.8779602050781,859.7935180664062,432.5945739746094,48.47930723225489,1.8484947507568,1736078,48.47972222222222,1.8522222222222224,278.59949553745327,Pylône autostable,40,1,144,0.08411256223917,278.59949553745327,,,,,I002
152,intermediaire,intermediaire_r03_c01.jpg,3,1,0.0687950178980827,689.4180908203125,911.74755859375,702.4720458984375,926.513671875,695.945068359375,919.130615234375,48.47662141166682,1.850801856999169,1122334,48.47916666666667,1.853055555555556,328.1733986398953,Silo,25,1,152,0.0687950178980827,328.1733986398953,,,,,I003
150,intermediaire,intermediaire_r02_c03.jpg,2,3,0.06277646869421,374.7368774414063,278.3383483886719,453.4800415039063,340.9183044433594,414.10845947265625,309.6283264160156,48.47952586710768,1.8555390763685864,1122334,48.47916666666667,1.853055555555556,187.3672468946369,Silo,25,1,150,0.06277646869421,187.3672468946369,,,,,I004
151,intermediaire,intermediaire_r02_c03.jpg,2,3,0.0531166344881057,540.5679931640625,518.732666015625,575.1295166015625,547.3582763671875,557.8487548828125,533.0454711914062,48.479128629154026,1.8559246178847388,1122334,48.47916666666667,1.853055555555556,211.52200539734244,Silo,25,1,151,0.0531166344881057,211.52200539734244,,,,,I005
157,peu_dense,peu_dense_r00_c04.jpg,0,4,0.3831607401371002,544.5994873046875,297.4085388183594,586.1981201171875,337.1936340332031,565.3988037109375,317.30108642578125,49.07838436688568,1.5186919537882204,458152,49.074444444444445,1.5130555555555556,600.4002811699058,Silo,26,1,157,0.3831607401371002,600.4002811699058,,,,,P001
158,peu_dense,peu_dense_r00_c04.jpg,0,4,0.3519228994846344,1001.1204223632812,842.6812744140625,1023.7763061523438,872.7825927734375,1012.4483642578124,857.73193359375,49.07743486597192,1.519891034149623,458152,49.074444444444445,1.5130555555555556,598.719638103527,Silo,26,1,158,0.3519228994846344,598.719638103527,,,,,P002
160,peu_dense,peu_dense_r01_c00.jpg,1,0,0.2963613271713257,266.915771484375,611.1656494140625,335.3812255859375,673.9576416015625,301.14849853515625,642.5616455078125,49.0760137722628,1.5069968511124898,458152,49.074444444444445,1.5130555555555556,474.565231474783,Silo,26,1,160,0.2963613271713257,474.565231474783,,,,,P003
171,peu_dense,peu_dense_r04_c01.jpg,4,1,0.2471911609172821,279.52508544921875,666.529541015625,308.05303955078125,693.3017578125,293.7890625,679.9156494140625,49.07055033595411,1.5097236935980618,458152,49.074444444444445,1.5130555555555556,496.387641700056,Silo,26,1,171,0.2471911609172821,496.387641700056,,,,,P004
156,peu_dense,peu_dense_r00_c02.jpg,0,2,0.2299204021692276,719.067138671875,786.6246948242188,743.762451171875,815.5708618164062,731.414794921875,801.0977783203125,49.07753436925266,1.5136440793139627,458152,49.074444444444445,1.5130555555555556,346.2483141045632,Silo,26,1,156,0.2299204021692276,346.2483141045632,,,,,P005
169,peu_dense,peu_dense_r03_c01.jpg,3,1,0.2190015465021133,770.9447631835938,332.498779296875,826.4797973632812,410.4813232421875,798.7122802734375,371.4900512695313,49.07289161042558,1.5110780032046025,458152,49.074444444444445,1.5130555555555556,224.86545161580764,Silo,26,1,169,0.2190015465021133,224.86545161580764,,,,,P006
172,peu_dense,peu_dense_r04_c02.jpg,4,2,0.1983228623867035,458.6325073242188,928.4259643554688,481.0529174804688,950.1621704101562,469.84271240234375,939.2940673828124,49.070094555785765,1.5129424883161846,458152,49.074444444444445,1.5130555555555556,483.7563386555113,Silo,26,1,172,0.1983228623867035,483.7563386555113,,,,,P007
155,peu_dense,peu_dense_r00_c01.jpg,0,1,0.1663171350955963,243.06944274902344,921.9730224609376,275.298095703125,949.1395263671876,259.1837692260742,935.5562744140624,49.07729813230637,1.5096308749684797,458152,49.074444444444445,1.5130555555555556,403.62795086244455,Silo,26,1,155,0.1663171350955963,403.62795086244455,,,,,P008
